quantifier,protocol,bag_size,mae_mean,mae_std
GB-PCC,C-APP,100,0.3719685189388299,0.1839415128744247
GB-PCC,C-APP,200,0.3796703347955129,0.18774230405903702
GB-PCC,C-APP,500,0.38451210319016366,0.18708879815602508
LR-ACC,APP,100,0.09640154110905438,0.065754939664305
LR-ACC,APP,200,0.09075487893390885,0.058431428808766596
LR-ACC,APP,500,0.08533705843311622,0.05237708162978801
LR-ACC,C-APP,100,0.13679445262816226,0.12667379143624666
LR-ACC,C-APP,200,0.12199654818323404,0.11273979063920489
LR-ACC,C-APP,500,0.12343495124221295,0.1097711586402036
LR-CC,APP,100,0.15178999999999995,0.10606481813327948
LR-CC,APP,200,0.14825499999999997,0.10290490461777992
LR-CC,APP,500,0.14860199999999996,0.10191590871129218
LR-CC,C-APP,100,0.30882,0.14143836966117931
LR-CC,C-APP,200,0.306525,0.13758717093030368
LR-CC,C-APP,500,0.30907,0.1362853506316683
LR-EMQ,APP,100,0.04860108383677307,0.03798490052552874
LR-EMQ,APP,200,0.04436152230617173,0.03036851930211578
LR-EMQ,APP,500,0.04067581706458942,0.022593210054033256
LR-EMQ,C-APP,100,0.05153102484084074,0.051232664185044755
LR-EMQ,C-APP,200,0.04143022101878439,0.04128132647953245
LR-EMQ,C-APP,500,0.04091233761201062,0.03821204941858404
LR-HDy,APP,100,0.07441498327213114,0.0528457093918974
LR-HDy,APP,200,0.06697808685420047,0.04410014359144173
LR-HDy,APP,500,0.06030939775190475,0.037166846991789904
LR-HDy,C-APP,100,0.04913210179748066,0.06147389087851634
LR-HDy,C-APP,200,0.035283541832410094,0.047427639220259686
LR-HDy,C-APP,500,0.0291924542695042,0.03809063082649735
LR-PACC,APP,100,0.07522972741107634,0.051847311247829785
LR-PACC,APP,200,0.07115423376054653,0.04688757526262548
LR-PACC,APP,500,0.06831230350425475,0.041780455126470134
LR-PACC,C-APP,100,0.11365390591976526,0.10200763013926205
LR-PACC,C-APP,200,0.10135281055533306,0.09153002424197508
LR-PACC,C-APP,500,0.10258669760153805,0.09107970993021317
LR-PCC,APP,100,0.16072485803115297,0.10685666332306079
LR-PCC,APP,200,0.15857291286122663,0.10581310643986624
LR-PCC,APP,500,0.15899361328663836,0.10549509630655352
LR-PCC,C-APP,100,0.3105216129884517,0.14810278527715648
LR-PCC,C-APP,200,0.3112253393198206,0.14572376302378792
LR-PCC,C-APP,500,0.31348746269568695,0.14603545043913518
RF-ACC,APP,100,0.28078596605715456,0.15106482426000936
RF-ACC,APP,200,0.28069221400536765,0.1494952999685727
RF-ACC,APP,500,0.2797833134557505,0.14659319833467668
RF-ACC,C-APP,100,0.4207087546108654,0.20913678699833882
RF-ACC,C-APP,200,0.42951613292243684,0.21089316092807364
RF-ACC,C-APP,500,0.436470432405635,0.21092627991247392
RF-CC,APP,100,0.27952,0.16566174396466257
RF-CC,APP,200,0.27888,0.16487989865650984
RF-CC,APP,500,0.27788199999999996,0.16259735537817335
RF-CC,C-APP,100,0.43457,0.21118478665404408
RF-CC,C-APP,200,0.442905,0.21439846705999963
RF-CC,C-APP,500,0.44920399999999994,0.2141292734068133
RF-EMQ,APP,100,0.10729289264043852,0.05984667304851636
RF-EMQ,APP,200,0.10439640609788416,0.04874068762447657
RF-EMQ,APP,500,0.10424373984468939,0.044689266596463974
RF-EMQ,C-APP,100,0.08425162151435989,0.10453525188380544
RF-EMQ,C-APP,200,0.07526797024280928,0.09253023140680214
RF-EMQ,C-APP,500,0.0771552728536143,0.09579711991826584
RF-HDy,APP,100,0.2883571826853472,0.14564381726337214
RF-HDy,APP,200,0.2867091417240899,0.14417523568942436
RF-HDy,APP,500,0.2842679747478561,0.1407851956285524
RF-HDy,C-APP,100,0.446772523802098,0.1967873845354079
RF-HDy,C-APP,200,0.45127089308830726,0.19719484704000123
RF-HDy,C-APP,500,0.4598161754313294,0.195459512490793
RF-PACC,APP,100,0.25010704276334206,0.14223748063309602
RF-PACC,APP,200,0.24904547036527683,0.1411978821800254
RF-PACC,APP,500,0.2480333919016535,0.13881564538360724
RF-PACC,C-APP,100,0.3902053215401289,0.17668036053827355
RF-PACC,C-APP,200,0.3970717205200934,0.1790007352028135
RF-PACC,C-APP,500,0.40260964006902467,0.17919032109515404
RF-PCC,APP,100,0.22215339999999997,0.1521072824483227
RF-PCC,APP,200,0.22101814999999997,0.15172418004354937
RF-PCC,APP,500,0.22008886,0.1496819494150218
RF-PCC,C-APP,100,0.3768834,0.18649684484617324
RF-PCC,C-APP,200,0.38365974999999997,0.19003268369759668
RF-PCC,C-APP,500,0.38823548,0.19023256857256435
SVM-ACC,APP,100,0.20699623662544936,0.1300124383493286
SVM-ACC,APP,200,0.2051450746617801,0.1297713493085412
SVM-ACC,APP,500,0.20501467720598257,0.12744397931605753
SVM-ACC,C-APP,100,0.35709004713331965,0.16331059340041829
SVM-ACC,C-APP,200,0.3620682174762369,0.1633011557232639
SVM-ACC,C-APP,500,0.36864703769994683,0.1637398242521994
SVM-CC,APP,100,0.21145999999999995,0.13955910986082254
SVM-CC,APP,200,0.20936499999999997,0.14001956024874618
SVM-CC,APP,500,0.20951799999999998,0.1375429596225911
SVM-CC,C-APP,100,0.37041999999999997,0.1691325794441432
SVM-CC,C-APP,200,0.37546999999999997,0.1706376168853055
SVM-CC,C-APP,500,0.38173599999999996,0.17085840599425864
SVM-EMQ,APP,100,0.055724633638449275,0.03797430519613287
SVM-EMQ,APP,200,0.04976061859151918,0.032602547716673834
SVM-EMQ,APP,500,0.0480173768542072,0.028333386468456824
SVM-EMQ,C-APP,100,0.12943511130675198,0.08944203199128835
SVM-EMQ,C-APP,200,0.12541944124879006,0.08412459176505603
SVM-EMQ,C-APP,500,0.12914225998079362,0.08384968618379285
SVM-HDy,APP,100,0.2607050322533665,0.12499270866017027
SVM-HDy,APP,200,0.25430070874792376,0.11938125587308579
SVM-HDy,APP,500,0.25031631704899926,0.11663996194377449
SVM-HDy,C-APP,100,0.4101590270403808,0.17089867255274827
SVM-HDy,C-APP,200,0.4012702644025558,0.163718327572799
SVM-HDy,C-APP,500,0.41315605132653443,0.16350122919727147
SVM-PACC,APP,100,0.14164663053949347,0.09585139701200114
SVM-PACC,APP,200,0.13906454382896963,0.09526253707957913
SVM-PACC,APP,500,0.1389475315706256,0.0932073140431115
SVM-PACC,C-APP,100,0.28434650900541036,0.1265822493670478
SVM-PACC,C-APP,200,0.2865603989326478,0.1257942319812337
SVM-PACC,C-APP,500,0.2918080007443957,0.12621671283664854
SVM-PCC,APP,100,0.14381555978673008,0.09656551141034461
SVM-PCC,APP,200,0.14132143911316472,0.09681899968885006
SVM-PCC,APP,500,0.1412861326093095,0.09483375835244018
SVM-PCC,C-APP,100,0.28345095924803815,0.13680341914803032
SVM-PCC,C-APP,200,0.2872507575381414,0.13597643675203266
SVM-PCC,C-APP,500,0.291895315020966,0.1366767146625633
